Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,0.016000,0.017258,0.015214,0.015598,0.015598,563563
2022-08-16,0.015598,0.015904,0.015392,0.015474,0.015474,582649
2022-08-17,0.015474,0.015490,0.014161,0.014238,0.014238,511533
2022-08-18,0.014238,0.014630,0.014042,0.014183,0.014183,642235
2022-08-19,0.014183,0.014233,0.012831,0.013706,0.013706,523806
2022-08-20,0.013706,0.013711,0.013198,0.013204,0.013204,540683
2022-08-21,0.013204,0.014223,0.013091,0.013374,0.013374,600634
2022-08-22,0.013374,0.013842,0.013350,0.013374,0.013374,525863
2022-08-23,0.013374,0.013750,0.013364,0.013744,0.013744,613588
2022-08-24,0.013744,0.013750,0.012950,0.013262,0.013262,551310
2022-08-25,0.013262,0.013417,0.012635,0.012982,0.012982,590576
2022-08-26,0.012982,0.014813,0.011418,0.012912,0.012912,513023
2022-08-27,0.012913,0.012935,0.011963,0.012299,0.012299,534351
2022-08-28,0.012299,0.012499,0.011954,0.012354,0.012354,550701
2022-08-29,0.012354,0.012432,0.011805,0.012095,0.012095,586858
2022-08-30,0.012095,0.012923,0.011528,0.011774,0.011774,547980
2022-08-31,0.011774,0.012007,0.011537,0.012000,0.012000,502005
2022-09-01,0.012000,0.012049,0.011267,0.011890,0.011890,497737
2022-09-02,0.011890,0.012069,0.011209,0.011212,0.011212,586194
2022-09-03,0.011212,0.011701,0.011198,0.011416,0.011416,531233
2022-09-04,0.011416,0.011546,0.010978,0.011059,0.011059,531437
2022-09-05,0.011059,0.011113,0.010270,0.010280,0.010280,522354
2022-09-06,0.010280,0.010411,0.010103,0.010145,0.010145,572382
2022-09-07,0.010145,0.010277,0.009946,0.009953,0.009953,611466
2022-09-08,0.009953,0.010280,0.009945,0.010014,0.010014,570696
2022-09-09,0.010014,0.010576,0.009993,0.010566,0.010566,637287
2022-09-10,0.010566,0.010979,0.010235,0.010745,0.010745,587366
2022-09-11,0.010745,0.010893,0.010015,0.010439,0.010439,444161
2022-09-12,0.010439,0.010537,0.009829,0.010521,0.010521,567347
2022-09-13,0.010521,0.010530,0.009956,0.010187,0.010187,593457
2022-09-14,0.010113,0.010235,0.009956,0.010144,0.010144,596307
2022-09-15,0.010144,0.010582,0.009967,0.010341,0.010341,602306
2022-09-16,0.010341,0.010589,0.010154,0.010511,0.010511,565335
2022-09-17,0.010510,0.011319,0.010243,0.011023,0.011023,633593
2022-09-18,0.011024,0.011577,0.010756,0.010756,0.010756,489614
2022-09-19,0.010756,0.011011,0.010611,0.010620,0.010620,567330
2022-09-20,0.010621,0.010818,0.010565,0.010673,0.010673,587277
2022-09-21,0.010673,0.010811,0.010562,0.010581,0.010581,534732
2022-09-22,0.010581,0.011694,0.010578,0.011342,0.011342,642054
2022-09-23,0.011342,0.012013,0.011233,0.012010,0.012010,679095
2022-09-24,0.012010,0.012621,0.011754,0.012612,0.012612,590800
2022-09-25,0.012612,0.012804,0.012294,0.012554,0.012554,600812
2022-09-26,0.012553,0.012804,0.012520,0.012776,0.012776,649793
2022-09-27,0.012776,0.013314,0.012055,0.013018,0.013018,577481
2022-09-28,0.013017,0.013020,0.012697,0.012704,0.012704,609054
2022-09-29,0.012704,0.014587,0.012696,0.012752,0.012752,636404
2022-09-30,0.012751,0.013650,0.012743,0.012914,0.012914,551717
2022-10-01,0.012914,0.013705,0.012588,0.012937,0.012937,577813
2022-10-02,0.012937,0.013031,0.012445,0.012769,0.012769,482694
2022-10-03,0.012769,0.012916,0.012606,0.012616,0.012616,567574
2022-10-04,0.012617,0.013539,0.012611,0.013321,0.013321,619393
2022-10-05,0.013321,0.013996,0.012539,0.012736,0.012736,562967
2022-10-06,0.012736,0.013414,0.012708,0.013265,0.013265,515306
2022-10-07,0.013265,0.013831,0.013175,0.013383,0.013383,573564
2022-10-08,0.013383,0.013645,0.013080,0.013356,0.013356,541757
2022-10-09,0.013356,0.013633,0.013077,0.013281,0.013281,546477
2022-10-10,0.013281,0.013636,0.012772,0.012997,0.012997,565474
2022-10-11,0.012997,0.013118,0.012458,0.012655,0.012655,508169
